timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778502815457,16,GET Login Page,200,,Calendar Day Users 1-3,text,true,,21823,244,1,1,http://localhost:8080/login,14,0,0
1778502815473,98,POST Login,200,,Calendar Day Users 1-3,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,72,0,0
1778502815473,72,POST Login-0,302,,Calendar Day Users 1-3,,true,,400,455,1,1,http://localhost:8080/login,72,0,0
1778502815545,4,POST Login-1,302,,Calendar Day Users 1-3,,true,,356,292,1,1,http://localhost:8080/,4,0,0
1778502815550,21,POST Login-2,200,,Calendar Day Users 1-3,text,true,,36848,301,1,1,http://localhost:8080/dashboard,16,0,0
1778502815572,54,GET Calendar Day,200,,Calendar Day Users 1-3,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,37,0,0
1778502815627,16,GET Login Page,200,,Calendar Day Users 1-3,text,true,,21823,244,1,1,http://localhost:8080/login,15,0,0
1778502815644,96,POST Login,200,,Calendar Day Users 1-3,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,69,0,0
1778502815644,69,POST Login-0,302,,Calendar Day Users 1-3,,true,,400,455,1,1,http://localhost:8080/login,69,0,0
1778502815713,5,POST Login-1,302,,Calendar Day Users 1-3,,true,,356,292,1,1,http://localhost:8080/,5,0,0
1778502815718,22,POST Login-2,200,,Calendar Day Users 1-3,text,true,,36848,301,1,1,http://localhost:8080/dashboard,15,0,0
1778502815740,53,GET Calendar Day,200,,Calendar Day Users 1-3,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,37,0,0
1778502815793,15,GET Login Page,200,,Calendar Day Users 1-3,text,true,,21823,244,1,1,http://localhost:8080/login,14,0,0
1778502815808,93,POST Login,200,,Calendar Day Users 1-3,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,71,0,0
1778502815808,71,POST Login-0,302,,Calendar Day Users 1-3,,true,,400,455,1,1,http://localhost:8080/login,71,0,0
1778502815879,3,POST Login-1,302,,Calendar Day Users 1-3,,true,,356,292,1,1,http://localhost:8080/,3,0,0
1778502815882,19,POST Login-2,200,,Calendar Day Users 1-3,text,true,,36848,301,1,1,http://localhost:8080/dashboard,14,0,0
1778502815902,37,GET Calendar Day,200,,Calendar Day Users 1-3,text,true,,88919,315,1,1,http://localhost:8080/calendar/day/2026-01-20,27,0,0
1778502815940,13,GET Login Page,200,,Calendar Day Users 1-3,text,true,,21823,244,1,1,http://localhost:8080/login,12,0,0
1778502815953,100,POST Login,200,,Calendar Day Users 1-3,text,true,,37604,1048,1,1,http://localhost:8080/dashboard,71,0,0
